Date,ZHVI_National_Median,YoY_%
1996-04-30,95700.0,
1996-05-31,94300.0,
1996-06-30,94400.0,
1996-07-31,94450.0,
1996-08-31,94450.0,
1996-09-30,94550.0,
1996-10-31,94750.0,
1996-11-30,95000.0,
1996-12-31,95300.0,
1997-01-31,95800.0,
1997-02-28,94900.0,
1997-03-31,95400.0,
1997-04-30,96100.0,0.4179728317659448
1997-05-31,97000.0,2.8632025450689325
1997-06-30,97700.0,3.495762711864403
1997-07-31,98200.0,3.970354685018518
1997-08-31,98900.0,4.711487559555327
1997-09-30,99600.0,5.3410893707033225
1997-10-31,100500.0,6.068601583113464
1997-11-30,101400.0,6.736842105263152
1997-12-31,101950.0,6.9779643231899335
1998-01-31,101800.0,6.263048016701456
1998-02-28,102500.0,8.008429926238136
1998-03-31,102800.0,7.756813417190767
1998-04-30,102850.0,7.023933402705507
1998-05-31,102900.0,6.082474226804124
1998-06-30,103600.0,6.0388945752303025
1998-07-31,105400.0,7.331975560081472
1998-08-31,105900.0,7.077856420626905
1998-09-30,106300.0,6.726907630522083
1998-10-31,106800.0,6.26865671641792
1998-11-30,107300.0,5.818540433925046
1998-12-31,107600.0,5.5419323197645864
1999-01-31,108000.0,6.090373280943018
1999-02-28,108300.0,5.658536585365859
1999-03-31,109200.0,6.22568093385214
1999-04-30,109900.0,6.854642683519696
1999-05-31,110400.0,7.288629737609331
1999-06-30,111400.0,7.528957528957525
1999-07-31,111600.0,5.882352941176472
1999-08-31,112000.0,5.760151085930132
1999-09-30,112500.0,5.832549388523045
1999-10-31,112800.0,5.617977528089879
1999-11-30,113400.0,5.684995340167753
1999-12-31,114100.0,6.040892193308545
2000-01-31,114750.0,6.25
2000-02-29,115400.0,6.555863342566948
2000-03-31,116200.0,6.41025641025641
2000-04-30,116900.0,6.369426751592355
2000-05-31,117500.0,6.431159420289845
2000-06-30,118100.0,6.014362657091565
2000-07-31,118650.0,6.317204301075274
2000-08-31,119250.0,6.473214285714279
2000-09-30,120000.0,6.666666666666665
2000-10-31,120800.0,7.092198581560294
2000-11-30,121400.0,7.054673721340388
2000-12-31,121950.0,6.879929886064851
2001-01-31,122400.0,6.666666666666665
2001-02-28,123200.0,6.7590987868284325
2001-03-31,123900.0,6.626506024096379
2001-04-30,124650.0,6.629597946963206
2001-05-31,125350.0,6.680851063829785
2001-06-30,125800.0,6.519898391193912
2001-07-31,126200.0,6.363253265908142
2001-08-31,126700.0,6.247379454926616
2001-09-30,127150.0,5.958333333333332
2001-10-31,127350.0,5.4221854304635775
2001-11-30,127650.0,5.148270181219106
2001-12-31,128050.0,5.002050020500204
2002-01-31,128500.0,4.983660130718959
2002-02-28,129000.0,4.707792207792205
2002-03-31,129350.0,4.398708635996762
2002-04-30,129550.0,3.9310068190934633
2002-05-31,129900.0,3.6298364579178344
2002-06-30,130400.0,3.6565977742448297
2002-07-31,131150.0,3.922345483359746
2002-08-31,131900.0,4.104183109707971
2002-09-30,132350.0,4.089657884388509
2002-10-31,132850.0,4.318806438947775
2002-11-30,133500.0,4.582843713278506
2002-12-31,134300.0,4.880905896134324
2003-01-31,135100.0,5.1361867704280195
2003-02-28,135850.0,5.310077519379841
2003-03-31,136800.0,5.7595670660997245
2003-04-30,137700.0,6.291007333076037
2003-05-31,138650.0,6.735950731331797
2003-06-30,139650.0,7.09355828220859
2003-07-31,140600.0,7.205489897064421
2003-08-31,141500.0,7.2782410917361595
2003-09-30,146000.0,10.31356252361164
2003-10-31,147500.0,11.02747459540836
2003-11-30,149100.0,11.685393258426968
2003-12-31,150700.0,12.211466865227095
2004-01-31,152500.0,12.879348630643971
2004-02-29,154500.0,13.72837688627162
2004-03-31,156500.0,14.400584795321647
2004-04-30,158800.0,15.323166303558455
2004-05-31,160000.0,15.398485394879202
2004-06-30,160300.0,14.786967418546372
2004-07-31,159600.0,13.513513513513509
2004-08-31,159100.0,12.438162544169607
2004-09-30,158400.0,8.493150684931505
2004-10-31,155500.0,5.423728813559325
2004-11-30,157800.0,5.835010060362178
2004-12-31,159650.0,5.938951559389505
2005-01-31,160950.0,5.54098360655737
2005-02-28,162800.0,5.372168284789636
2005-03-31,164350.0,5.015974440894566
2005-04-30,165900.0,4.47103274559193
2005-05-31,167000.0,4.374999999999996
2005-06-30,168650.0,5.208983156581404
2005-07-31,170450.0,6.798245614035081
2005-08-31,170850.0,7.385292269013188
2005-09-30,171700.0,8.39646464646464
2005-10-31,174300.0,12.090032154340836
2005-11-30,176350.0,11.755386565272508
2005-12-31,177550.0,11.212026307547763
2006-01-31,178100.0,10.655483069276173
2006-02-28,177050.0,8.753071253071255
2006-03-31,175550.0,6.814724672954053
2006-04-30,175800.0,5.967450271247743
2006-05-31,176400.0,5.628742514970053
2006-06-30,178000.0,5.544026089534548
2006-07-31,181200.0,6.30683484892931
2006-08-31,184600.0,8.047995317529999
2006-09-30,186800.0,8.79440885264997
2006-10-31,188000.0,7.860011474469308
2006-11-30,188450.0,6.861355259427282
2006-12-31,188700.0,6.279921148972112
2007-01-31,189550.0,6.4289724873666465
2007-02-28,190350.0,7.512002259248796
2007-03-31,191350.0,9.000284819139836
2007-04-30,192400.0,9.442548350398173
2007-05-31,192800.0,9.297052154195008
2007-06-30,193200.0,8.539325842696632
2007-07-31,193600.0,6.843267108167761
2007-08-31,194300.0,5.254604550379205
2007-09-30,194700.0,4.229122055674517
2007-10-31,195700.0,4.0957446808510545
2007-11-30,196700.0,4.377819050145937
2007-12-31,196600.0,4.1865394806571254
2008-01-31,196000.0,3.40279609601688
2008-02-29,195400.0,2.653007617546632
2008-03-31,194700.0,1.7507185785210266
2008-04-30,193400.0,0.5197505197505281
2008-05-31,191700.0,-0.5705394190871349
2008-06-30,191000.0,-1.1387163561076608
2008-07-31,188600.0,-2.5826446280991733
2008-08-31,187150.0,-3.6798764796706074
2008-09-30,186750.0,-4.0832049306625535
2008-10-31,185700.0,-5.109862033725088
2008-11-30,185650.0,-5.617691916624301
2008-12-31,185500.0,-5.645981688708035
2009-01-31,185000.0,-5.612244897959185
2009-02-28,184400.0,-5.629477993858756
2009-03-31,183400.0,-5.803800719054952
2009-04-30,182100.0,-5.842812823164422
2009-05-31,180250.0,-5.972874282733443
2009-06-30,177000.0,-7.329842931937169
2009-07-31,175750.0,-6.813361611876989
2009-08-31,174750.0,-6.625701309110344
2009-09-30,173050.0,-7.336010709504681
2009-10-31,170700.0,-8.077544426494343
2009-11-30,169250.0,-8.833827093994074
2009-12-31,166150.0,-10.431266846361186
2010-01-31,161800.0,-12.540540540540546
2010-02-28,159850.0,-13.313449023861168
2010-03-31,159450.0,-13.058887677208286
2010-04-30,158750.0,-12.822624931356398
2010-05-31,157600.0,-12.565880721220523
2010-06-30,156700.0,-11.46892655367232
2010-07-31,156000.0,-11.237553342816497
2010-08-31,155550.0,-10.987124463519315
2010-09-30,154700.0,-10.603871713377632
2010-10-31,153800.0,-9.900410076156996
2010-11-30,152600.0,-9.837518463810934
2010-12-31,151750.0,-8.666867288594648
2011-01-31,151400.0,-6.427688504326334
2011-02-28,150700.0,-5.72411635908664
2011-03-31,149550.0,-6.208842897460021
2011-04-30,148350.0,-6.551181102362202
2011-05-31,147350.0,-6.50380710659898
2011-06-30,146400.0,-6.573069559668154
2011-07-31,145750.0,-6.570512820512819
2011-08-31,145200.0,-6.653809064609451
2011-09-30,144400.0,-6.658047834518421
2011-10-31,143650.0,-6.599479843953182
2011-11-30,142950.0,-6.3237221494102265
2011-12-31,142350.0,-6.194398682042834
2012-01-31,142200.0,-6.076618229854692
2012-02-29,142000.0,-5.77305905773059
2012-03-31,141900.0,-5.115346038114343
2012-04-30,141800.0,-4.415234243343447
2012-05-31,142200.0,-3.4950797421106183
2012-06-30,143550.0,-1.9467213114754078
2012-07-31,144950.0,-0.5488850771869669
2012-08-31,146150.0,0.6542699724517931
2012-09-30,147250.0,1.9736842105263053
2012-10-31,148250.0,3.2022276366167723
2012-11-30,149200.0,4.372158097236789
2012-12-31,150150.0,5.47945205479452
2013-01-31,151150.0,6.293952180028128
2013-02-28,151700.0,6.83098591549296
2013-03-31,152250.0,7.293868921775903
2013-04-30,153600.0,8.321579689703817
2013-05-31,155300.0,9.212376933895916
2013-06-30,157250.0,9.543712991988862
2013-07-31,159300.0,9.899965505346664
2013-08-31,161200.0,10.297639411563452
2013-09-30,161800.0,9.881154499151101
2013-10-31,162200.0,9.409780775716703
2013-11-30,162700.0,9.048257372654156
2013-12-31,163400.0,8.824508824508825
2014-01-31,164100.0,8.567648031756537
2014-02-28,164600.0,8.503625576796313
2014-03-31,164950.0,8.341543513957305
2014-04-30,165450.0,7.71484375
2014-05-31,165900.0,6.825499034127502
2014-06-30,166400.0,5.818759936406992
2014-07-31,167200.0,4.959196484620221
2014-08-31,168000.0,4.218362282878418
2014-09-30,168750.0,4.295426452410389
2014-10-31,169350.0,4.408138101109738
2014-11-30,169950.0,4.456054087277206
2014-12-31,170800.0,4.528763769889843
2015-01-31,171650.0,4.600853138330296
2015-02-28,172450.0,4.76913730255164
2015-03-31,173400.0,5.122764474083064
2015-04-30,174500.0,5.469930492595942
2015-05-31,175600.0,5.84689572031345
2015-06-30,176700.0,6.189903846153855
2015-07-31,177850.0,6.369617224880386
2015-08-31,179000.0,6.547619047619047
2015-09-30,180150.0,6.755555555555559
2015-10-31,181400.0,7.115441393563615
2015-11-30,182400.0,7.325684024713142
2015-12-31,183700.0,7.552693208430905
2016-01-31,185100.0,7.835712205068446
2016-02-29,186300.0,8.03131342418093
2016-03-31,187250.0,7.987312572087668
2016-04-30,188100.0,7.7936962750716265
2016-05-31,188800.0,7.51708428246014
2016-06-30,190050.0,7.5551782682512725
2016-07-31,191500.0,7.67500702839472
2016-08-31,192450.0,7.513966480446932
2016-09-30,193250.0,7.271718012767137
2016-10-31,194150.0,7.028665931642775
2016-11-30,194600.0,6.68859649122806
2016-12-31,195150.0,6.23298856831791
2017-01-31,195850.0,5.807671528903291
2017-02-28,196400.0,5.421363392377887
2017-03-31,196750.0,5.073431241655535
2017-04-30,197300.0,4.891015417331213
2017-05-31,197800.0,4.766949152542366
2017-06-30,198000.0,4.183109707971577
2017-07-31,198150.0,3.4725848563968764
2017-08-31,198600.0,3.1956352299298496
2017-09-30,199950.0,3.467011642949558
2017-10-31,201100.0,3.579706412567596
2017-11-30,200900.0,3.237410071942448
2017-12-31,200650.0,2.818344862925959
